#Degree max: 241	#Average degree: 30
#Tot Nodes: 999	#Tot Edges: 15440
#NumNodes	Degree
6	1
4	2
8	3
7	4
15	5
18	6
8	7
17	8
18	9
30	10
22	11
18	12
20	13
21	14
14	15
24	16
36	17
28	18
27	19
28	20
24	21
24	22
30	23
27	24
30	25
29	26
29	27
21	28
27	29
27	30
18	31
21	32
16	33
20	34
12	35
18	36
17	37
11	38
12	39
17	40
8	41
6	42
9	43
7	44
8	45
3	46
8	47
4	48
5	49
7	50
3	51
3	52
6	53
4	54
7	55
2	57
6	58
6	59
3	60
4	61
5	62
3	63
3	64
7	65
4	66
7	67
1	68
2	69
4	70
3	71
1	72
2	73
2	74
1	75
1	76
1	77
1	78
1	79
1	80
1	81
2	82
1	83
2	85
1	89
2	92
1	93
4	94
2	96
2	99
1	103
2	105
1	106
2	108
1	112
1	116
1	120
1	123
1	124
1	126
1	127
1	130
1	138
1	139
1	145
1	150
1	162
1	170
1	215
1	227
1	241

