#Degree max: 241	#Average degree: 30
#Tot Nodes: 999	#Tot Edges: 15440
#NodeId	Name	Degree	Expression
0	OR4F5	0	0
1	SAMD11	26	0
2	NOC2L	32	0
3	KLHL17	23	0
4	PLEKHN1	31	0
5	HES4	0	0
6	ISG15	4	0
7	AGRN	15	0
8	RNF223	18	0
9	C1orf159	36	0
10	TTLL10	39	0
11	TNFRSF18	27	0
12	TNFRSF4	27	0
13	SDF4	25	0
14	B3GALT6	16	0
15	FAM132A	16	0
16	UBE2J2	16	0
17	SCNN1D	27	0
18	ACAP3	29	0
19	PUSL1	10	0
20	CPSF3L	10	0
21	GLTPD1	10	0
22	TAS1R3	10	0
23	DVL1	22	0
24	MXRA8	18	0
25	AURKAIP1	0	0
26	CCNL2	19	0
27	MRPL20	19	0
28	ANKRD65	0	0
29	TMEM88B	0	0
30	VWA1	30	0
31	ATAD3C	27	0
32	ATAD3B	20	0
33	ATAD3A	29	0
34	TMEM240	3	0
35	SSU72	23	0
36	LOC643988	15	0
37	MIB2	27	0
38	MMP23B	17	0
39	CDK11B	43	0
40	SLC35E2B	25	0
41	CDK11A	15	0
42	SLC35E2	7	0
43	NADK	2	0
44	GNB1	31	0
45	CALML6	0	0
46	TMEM52	0	0
47	KIAA1751	49	0
48	GABRD	18	0
49	PRKCZ	47	0
50	C1orf86	22	0
51	SKI	54	0
52	MORN1	32	0
53	RER1	19	0
54	PEX10	16	0
55	PLCH2	30	0
56	PANK4	9	0
57	HES5	18	0
58	TNFRSF14	18	0
59	FAM213B	10	0
60	MMEL1	18	0
61	TTC34	33	0
62	ACTRT2	10	0
63	PRDM16	63	0
64	ARHGEF16	17	0
65	MEGF6	39	0
66	TPRG1L	25	0
67	WRAP73	14	0
68	TP73	30	0
69	CCDC27	6	0
70	LOC388588	0	0
71	LRRC47	0	0
72	CEP104	39	0
73	DFFB	24	0
74	C1orf174	12	0
75	AJAP1	47	0
76	NPHP4	50	0
77	KCNAB2	55	0
78	CHD5	40	0
79	RPL22	16	0
80	RNF207	21	0
81	ICMT	29	0
82	HES3	0	0
83	GPR153	20	0
84	ACOT7	22	0
85	HES2	0	0
86	ESPN	27	0
87	TNFRSF25	17	0
