#eID Symbol logFC P.Value
5051 HAPLN1 -9.07426344109104 2.76182468106769e-08
1766 NNMT 7.46122570550876 5.18920651623049e-08
1939 IFI27 6.38370421913961 1.9635680136159e-07
556 CD99 -6.10737444267851 2.31154523401293e-07
4499 OAS2 5.2221264066121 5.80334810447275e-07
11057 AKR1C1 -4.525511618269 6.26924409756575e-07
4461 HPN -4.964598364143 6.57257081059255e-07
1614 MX1 6.34953262662645 6.87815721071414e-07
5396 PRSS1 6.42784831739545 7.97566440294477e-07
557 CD99 -5.33081154508463 8.8932510748026e-07
3678 AKR1C1 -4.22527400251109 8.94612712573343e-07
21674 NA -5.70134226691677 9.2411611541325e-07
1129 IFITM1 5.27524025112859 9.44648873437012e-07
8955 APLP1 -5.41642163588917 9.81762681602389e-07
9187 AKR1C1 -4.65396182331191 1.07868618211222e-06
13401 IFITM2 5.51014824529008 1.19394876796786e-06
5187 OASL 5.50681822014382 1.22200827260085e-06
1177 UBE2L6 4.60272584301997 1.37512929543897e-06
15964 AKR1C1 -4.37790469056538 1.61670519049784e-06
6087 AKR1B10 -3.86191215325657 2.05832844278516e-06
3806 PSMB9 4.0047209056164 2.77617405367168e-06
1169 BST2 7.85153949497031 3.17174980778718e-06
5858 IFI16 3.39176239711417 3.29655946368089e-06
3942 IFI6 3.44655081729714 3.3227507111018e-06
3597 RARRES3 4.12333812255343 3.44279826461279e-06
18994 PDZK1IP1 3.98908155873571 3.84171572784623e-06
7714 C4BPB -3.92293200103989 3.90043426970688e-06
21422 IL27RA -5.41299436822617 3.94313415828863e-06
6610 POU3F2 -3.37275250440457 4.27022547504719e-06
17254 CYBRD1 -5.05354084827847 5.17858974815044e-06
11589 IFITM3 3.82473591250556 5.25792576743353e-06
4929 NA 3.67121906650393 5.58988359080094e-06
9455 STAT1 3.09071105062449 5.89483347094787e-06
9821 TPO -4.66594374547367 6.14564000608089e-06
10257 OASL 3.85096730723641 6.80329140906189e-06
15841 PRSS3P1 3.18749951196875 7.61245865623595e-06
5050 HAPLN1 -10.2673452589091 7.66845404992416e-06
4726 CA9 -3.11341238833761 8.29603919175974e-06
3506 CYP27A1 5.01930439067385 8.58094069930892e-06
8581 MCAM -3.96031124273271 9.40413798512088e-06
2397 OAS1 3.03930902307934 1.03443613222673e-05
4763 SOD3 -3.52829280753148 1.12277159826164e-05
5079 OAS1 3.50279679711122 1.12572714470661e-05
7144 ABCF2 -4.39030184365647 1.16651536989052e-05
8287 CLU -2.9340089557031 1.27480279309578e-05
9701 FZD2 -3.16948346269516 1.39349573047619e-05
1798 GBP1 4.8963254944075 1.46384430213972e-05
17911 C1orf115 -4.48483675395906 1.51458224375692e-05
17765 OAS3 3.13361121378464 1.56321822303191e-05
13064 PDLIM5 3.57161550513355 1.58473738885059e-05
14221 ALPK3 3.3263406768017 1.5952766259443e-05
4016 CD44 -2.60085231645496 1.60536646092755e-05
9092 GATA3 6.12445492533229 1.73034864726422e-05
18579 SLC39A4 3.41440756047409 1.74743484750515e-05
8286 CLU -3.03125193227999 1.81736390755729e-05
13682 MUC5AC -2.68656539567921 1.82571288349589e-05
2061 DHFRP1 -3.45491877366578 1.88828183487365e-05
1673 LY6E 3.57202575998169 1.89923777534012e-05
10758 MCAM -3.49785352619322 1.90904736596282e-05
4598 XRCC4 -5.33905231713671 1.93825725635449e-05
15584 DKC1 3.09233288211793 2.12920176232113e-05
3300 BLVRA -3.00094939030439 2.16418880669655e-05
6393 GCKR -3.69033323137366 2.37183125630512e-05
17908 PARP12 2.43508063847338 2.41325906655255e-05
10084 NAT6 -5.0236976248602 2.43898162892425e-05
18087 RGCC 3.41897852557711 2.44695918050562e-05
8654 AKR1C3 -2.49765775155521 2.46660679338471e-05
11129 BLVRA -2.52362255344061 2.5763401624171e-05
843 IFITM2 2.62763002714997 2.65412774053337e-05
14769 PRSS3P2 2.87723627218918 2.66637169298346e-05
5421 ARSE -2.7856974734346 2.76927008100907e-05
8758 TSPAN4 -3.09524520282026 2.92039987555659e-05
11984 AUTS2 2.6323381947608 2.92700612262145e-05
9094 GATA3 3.64141667415916 2.93771422024257e-05
9987 AKAP12 2.81351735527892 2.96215517094003e-05
12476 PRKCA -2.72513625888488 2.98716189673267e-05
3314 SSBP2 -3.19317734600126 3.05378927537057e-05
3112 ZNF185 2.70451015624896 3.08941613037238e-05
5096 LAMP3 2.40383163570498 3.27890847322851e-05
3504 TAZ 3.10957548590859 3.31374369101731e-05
1221 EGR1 2.65745046774672 3.37069953587672e-05
1222 EGR1 2.26620252707583 3.3757557618631e-05
4521 MX2 6.10088237209013 3.40129234967115e-05
2032 TRIM29 3.15523889515693 3.41125727605725e-05
17992 DRAM1 -2.84514430274388 3.49347324737033e-05
2362 AGT -3.22751809154479 3.6107175617276e-05
570 TGM2 2.5272031164754 3.62703747524641e-05
13458 DHRS2 3.4290978923297 3.66687931862648e-05
14428 EPOR -2.29720688182703 3.69400976212285e-05
4500 GJB1 -2.39106484650718 3.78587653313198e-05
1550 ALDOC -2.43255948550595 3.86519846075481e-05
4067 EEF1A2 -2.80685771970186 3.93663075794293e-05
21735  -2.89566129079406 3.943481489306e-05
21232 RARRES1 5.8036082404488 4.06920945482988e-05
13848 HIST1H2AE -3.24120063164016 4.12366219240404e-05
13402 TUBB2B -3.97557950087361 4.13627705662841e-05
1974 PLSCR1 2.66043004102461 4.17618765648323e-05
18441 WWOX 2.11601788904362 4.19161119786193e-05
4064 GABRE 4.20646106827168 4.26069127614477e-05
15233 SYT12 -2.58553387386432 4.3474816556152e-05
9397 HIST1H2BD -2.20568489126691 4.43497486420265e-05
9321 CD44 -2.00335499172609 4.54664439046433e-05
12813 MUC5B -3.5209577687712 4.62393293641574e-05
21091 VCAN -2.03103147206952 4.63208762052741e-05
21955 FOXA2 -3.59723010475035 4.7132009755524e-05
