K-CORES (!= 0).....
Node 52 => k-core: 1; degree: 1
Node 246 => k-core: 1; degree: 1
Node 247 => k-core: 1; degree: 1
Node 540 => k-core: 1; degree: 1
Node 642 => k-core: 1; degree: 1
Node 766 => k-core: 1; degree: 1
Node 1086 => k-core: 1; degree: 1
Node 1541 => k-core: 1; degree: 1
Node 2194 => k-core: 1; degree: 1
Node 2245 => k-core: 1; degree: 1
Node 2291 => k-core: 1; degree: 1
Node 2571 => k-core: 1; degree: 1
Node 2650 => k-core: 1; degree: 1
Node 2654 => k-core: 1; degree: 1
Node 2725 => k-core: 1; degree: 1
Node 2805 => k-core: 1; degree: 1
Node 2868 => k-core: 1; degree: 1
Node 2882 => k-core: 1; degree: 1
Node 3243 => k-core: 1; degree: 1
Node 3244 => k-core: 1; degree: 1
Node 3378 => k-core: 1; degree: 1
Node 4066 => k-core: 1; degree: 1
Node 4068 => k-core: 1; degree: 1
Node 4278 => k-core: 1; degree: 1
Node 4455 => k-core: 1; degree: 1
Node 4618 => k-core: 1; degree: 1
Node 4732 => k-core: 1; degree: 1
Node 4737 => k-core: 1; degree: 1
Node 4836 => k-core: 1; degree: 1
Node 4839 => k-core: 1; degree: 1
Node 4972 => k-core: 1; degree: 1
Node 4981 => k-core: 1; degree: 1
Node 5001 => k-core: 1; degree: 1
Node 5265 => k-core: 1; degree: 1
Node 5619 => k-core: 1; degree: 1
Node 5682 => k-core: 1; degree: 1
Node 5793 => k-core: 1; degree: 1
Node 5858 => k-core: 1; degree: 1
Node 6567 => k-core: 1; degree: 1
Node 7135 => k-core: 1; degree: 1
Node 7323 => k-core: 1; degree: 1
Node 7407 => k-core: 1; degree: 1
Node 7805 => k-core: 1; degree: 1
Node 7811 => k-core: 1; degree: 1
Node 7877 => k-core: 1; degree: 1
Node 7879 => k-core: 1; degree: 1
Node 7906 => k-core: 1; degree: 1
Node 7913 => k-core: 1; degree: 1
Node 7968 => k-core: 1; degree: 1
Node 7978 => k-core: 1; degree: 1
Node 8012 => k-core: 1; degree: 1
Node 8016 => k-core: 1; degree: 1
Node 8020 => k-core: 1; degree: 1
Node 8021 => k-core: 2; degree: 53
Node 8022 => k-core: 1; degree: 1
Node 8023 => k-core: 1; degree: 1
Node 8028 => k-core: 1; degree: 1
Node 8083 => k-core: 1; degree: 1
Node 8087 => k-core: 1; degree: 1
Node 8102 => k-core: 2; degree: 2
Node 8103 => k-core: 1; degree: 1
Node 8125 => k-core: 1; degree: 1
Node 8172 => k-core: 1; degree: 1
Node 8321 => k-core: 1; degree: 1
Node 9112 => k-core: 1; degree: 1
Node 9161 => k-core: 2; degree: 2
Node 9174 => k-core: 1; degree: 1
Node 9264 => k-core: 1; degree: 1
Node 9267 => k-core: 1; degree: 1
Node 9482 => k-core: 1; degree: 1
Node 9946 => k-core: 1; degree: 1
Node 9962 => k-core: 1; degree: 1
Node 9970 => k-core: 1; degree: 1
