seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	CD13_BM_01	CD13_BM_03	CD13_BM_06	CD13_BM_12	CD13_BM_18	CD13_BM_24	CD13_BM_30	CD13_BM_36	CD14_PB_01	CD14_PB_03	CD14_PB_06	CD14_PB_09	CD14_PB_12	CD14_PB_18	CD14_PB_24	CD14_PB_30	CD14_PB_36	CD15_BM_01	CD15_BM_03	CD15_BM_06	CD15_BM_12	CD15_BM_18	CD15_BM_24	CD15_BM_30	CD15_BM_36	CD15_PB_01	CD15_PB_03	CD15_PB_06	CD15_PB_09	CD15_PB_18	CD15_PB_30	CD15_PB_36	CD19_BM_01	CD19_BM_03	CD19_BM_06	CD19_BM_12	CD19_BM_18	CD19_BM_24	CD19_BM_30	CD19_BM_36	CD19_PB_01	CD19_PB_03	CD19_PB_06	CD19_PB_09	CD19_PB_12	CD19_PB_24	CD19_PB_30	CD19_PB_36	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_BM_30	CD34_BM_36	CD3_BM_01	CD3_BM_03	CD3_BM_06	CD3_BM_12	CD3_BM_18	CD3_BM_24	CD3_BM_30	CD3_BM_36	CD3_PB_01	CD3_PB_03	CD3_PB_06	CD3_PB_09	CD3_PB_12	CD3_PB_18	CD3_PB_24	CD3_PB_30	CD3_PB_36	CD56_BM_01	CD56_BM_03	CD56_BM_06	CD56_BM_12	CD56_BM_18	CD56_BM_24	CD56_BM_30	CD56_BM_36	CD56_PB_01	CD56_PB_03	CD56_PB_06	CD56_PB_09	CD56_PB_12	CD56_PB_18	CD56_PB_24	CD56_PB_30	CD56_PB_36	CD61_BM_01	CD61_BM_03	CD61_BM_06	CD61_BM_12	CD61_BM_30	CFC_BM_00	CFC_BM_03	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_BM_30	CFC_PB_12	CFC_PB_18	CFC_PB_24	CFC_PB_30	GLY_BM_01	GLY_BM_03	GLY_BM_06	GLY_BM_12	GLY_BM_18	GLY_BM_30	GLY_BM_36	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_BM_24	MNC_BM_30	MNC_BM_36	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	MNC_PB_24	MNC_PB_30	MNC_PB_36	WHOLE.BM_BM_01	WHOLE.BM_BM_03	WHOLE.BM_BM_06	WHOLE.BM_BM_12	WHOLE.BM_BM_18	WHOLE.BM_BM_24	WHOLE.BM_BM_30	WHOLE.BM_BM_36	WHOLE.PB_PB_01	WHOLE.PB_PB_03	WHOLE.PB_PB_06	WHOLE.PB_PB_09	WHOLE.PB_PB_12	WHOLE.PB_PB_18	WHOLE.PB_PB_24	WHOLE.PB_PB_30	WHOLE.PB_PB_36
chr1	124826	124826	1	+	LOC729737	-	FALSE	FALSE																																																																																																																										1																										
chr1	125727	125727	1	+	LOC729737	-	FALSE	FALSE																																																																																																																	1																																			
chr1	651528	651528	1	+	LOC100133331	-	FALSE	FALSE															1																																																																																																																																					
chr1	717724	717724	1	-	LOC100288069	-	FALSE	FALSE																																								7																																																																																																												
chr1	718743	718743	1	-	LOC100288069	-	FALSE	FALSE																																																																																																		6																																																		
chr1	817216	817216	1	-	FAM41C	-	FALSE	FALSE																																																	18																																																																																																			
chr1	881744	881744	1	+	NOC2L	-	FALSE	FALSE																																																		4																																																																																																		
chr1	1084407	1084407	1	+	LINC01342	+	FALSE	FALSE							531																												8			1300																																																														4				9																																												
chr1	1087297	1087297	1	+	LINC01342	+	FALSE	FALSE																						5																																																																																																																														
chr1	1122159	1122159	1	+	TTLL10	+	FALSE	FALSE								487																																																																																												1			212																																													
chr1	1122666	1122666	1	+	TTLL10	+	FALSE	FALSE																																			1																																																																																																																	
chr1	1126218	1126218	1	+	TTLL10	+	FALSE	FALSE																	1																																																																																																																																			
chr1	1130869	1130869	1	-	TTLL10	+	FALSE	FALSE																																																																																																																																					1															
chr1	1134067	1134067	1	-	TTLL10	+	FALSE	FALSE																																																																																																																									6740													2														
chr1	1146777	1146777	1	-	TNFRSF4	-	FALSE	FALSE																																																																																																																											22																									
chr1	1158209	1158209	1	+	SDF4	-	FALSE	FALSE																																																																																																																											10																									
chr1	1190724	1190724	1	+	UBE2J2	-	FALSE	FALSE																																																																																																																				1																																
chr1	1248220	1248220	1	-	CPSF3L	-	FALSE	FALSE																																																																																																		3																																																		
chr1	1281816	1281816	1	-	DVL1	-	FALSE	FALSE		64																																																																																																																																																		
chr1	1330979	1330979	1	-	CCNL2	-	FALSE	FALSE						1370																														1																																																																																																																
chr1	1350615	1350615	1	+	ANKRD65	-	FALSE	FALSE																								164																																																																																																																												
chr1	1490478	1490478	1	+	SSU72	-	FALSE	FALSE																																								1211																																																																																																												
chr1	1494127	1494127	1	+	SSU72	-	FALSE	FALSE										1																																																																																																																																										
chr1	1501508	1501508	1	-	SSU72	-	FALSE	FALSE																																																																																																				1				1391																																												
chr1	1518644	1518644	1	-	SSU72	-	FALSE	FALSE																		1917																						77									186																															4																					26814																											2																				
chr1	1538994	1538994	1	+	C1orf233	-	FALSE	FALSE																						13																																																																																																																														
chr1	1542988	1542988	1	+	C1orf233	-	FALSE	FALSE																																																																												1																																																																								
chr1	1615143	1615143	1	-	SLC35E2B	-	FALSE	FALSE																																																																																																																											16																									
chr1	1638799	1638799	1	-	CDK11A	-	FALSE	FALSE																																																																4																																																																																				
chr1	1690979	1690979	1	+	NADK	-	FALSE	FALSE																																																																																																																																									1											
chr1	1701882	1701882	1	+	NADK	-	FALSE	FALSE																																	998																																																																																																																			
chr1	1713421	1713421	1	-	NADK	-	FALSE	FALSE																																																																																																											1																																									
chr1	1717566	1717566	1	-	GNB1	-	FALSE	FALSE																								35																							1																																																																																																					
chr1	1737817	1737817	1	+	GNB1	-	FALSE	FALSE											1																																																																																																																																									
chr1	1746626	1746626	1	+	GNB1	-	FALSE	FALSE																																																																																																		2																																																		
chr1	1753097	1753097	1	+	GNB1	-	FALSE	FALSE			8																																9																																																																																																																	
chr1	1755221	1755221	1	-	GNB1	-	FALSE	FALSE																			1																																																																																																																																	
chr1	1759308	1759308	1	+	GNB1	-	FALSE	FALSE															210																																																																																																																																					
chr1	1761156	1761156	1	+	GNB1	-	FALSE	FALSE																																																		4																																																																																																		
chr1	1767657	1767657	1	+	GNB1	-	FALSE	FALSE								714																																																																																																																																												
chr1	1793683	1793683	1	+	GNB1	-	FALSE	FALSE																																																																																									7																																							1																	2135			
chr1	1794627	1794627	1	-	GNB1	-	FALSE	FALSE																																																																																																											23																																									
chr1	1804400	1804400	1	+	GNB1	-	FALSE	FALSE																421																																																																																																																																				
chr1	1805608	1805608	1	+	GNB1	-	FALSE	FALSE																																	1162								513			1														1593																																																																1055																										
chr1	1814377	1814377	1	+	GNB1	-	FALSE	FALSE																																																																																						28																																																														
chr1	1820763	1820763	1	-	GNB1	-	FALSE	FALSE																																																									2255																																																																																											
chr1	1820774	1820774	1	-	GNB1	-	FALSE	FALSE																											2																																																																																																																									
chr1	2022914	2022914	1	+	PRKCZ	+	FALSE	FALSE																																2																																																																																																																				
chr1	2154418	2154418	1	+	SKI	+	FALSE	FALSE																																			1																																																																																																																	
chr1	2154485	2154485	1	-	SKI	+	FALSE	FALSE																																																																																																																				1																																
chr1	2197309	2197309	1	+	SKI	+	FALSE	FALSE																																																																												5																																																																								
chr1	2198986	2198986	1	+	SKI	+	FALSE	FALSE																																																																																																																																					1															
chr1	2205526	2205526	1	+	SKI	+	FALSE	FALSE																																																																																																																									1																											
chr1	2240635	2240635	1	+	SKI	+	FALSE	FALSE																																																																																																																																						21														
chr1	2452358	2452358	1	-	PANK4	-	FALSE	FALSE																														130															1																									1																																															22																															
chr1	2492540	2492540	1	+	TNFRSF14	+	FALSE	FALSE																																																																																																																																						1					146									
chr1	2493885	2493885	1	-	TNFRSF14	+	FALSE	FALSE																									248																																																																																																																											
chr1	2506102	2506102	1	+	LOC100996583	+	FALSE	FALSE																																																																																																											210																																									
chr1	2767161	2767161	1	+	TTC34	-	FALSE	FALSE																																																																																																																								458																												
chr1	2769624	2769624	1	-	TTC34	-	FALSE	FALSE																																																	335																																																																																																			
chr1	2772713	2772713	1	-	TTC34	-	FALSE	FALSE																																																																																																																																																98				
chr1	2785130	2785130	1	-	TTC34	-	FALSE	FALSE																																								443								6																																																																																																				
