#Root Gene: Cl_chr1:0,200000000	 Tot. Edges: 15440
#Edge	Weight	Prob ( > 0 )	Cis/Trans
SAMD11--ACAP3	0.280572	0.120713	CIS
SAMD11--PUSL1	0.280572	0.120713	CIS
SAMD11--CPSF3L	0.280572	0.120713	CIS
SAMD11--GLTPD1	0.280572	0.120713	CIS
SAMD11--TAS1R3	0.280572	0.120713	CIS
SAMD11--DVL1	0.280572	0.120713	CIS
SAMD11--TTLL10	0.280572	0.120713	CIS
SAMD11--SAMD11	0.283262	0.164166	CIS
SAMD11--NOC2L	0.283262	0.164166	CIS
SAMD11--KLHL17	0.283262	0.164166	CIS
SAMD11--PLEKHN1	0.283262	0.164166	CIS
SAMD11--MACF1	0.298723	0.413987	CIS
SAMD11--ISG15	0.283262	0.164166	CIS
SAMD11--AGRN	0.283262	0.164166	CIS
SAMD11--MORN1	0.285206	0.195588	CIS
SAMD11--EPS8L3	0.283357	0.165704	CIS
SAMD11--LAPTM5	0.297925	0.401090	CIS
SAMD11--SDF4	0.280572	0.120713	CIS
SAMD11--KCNAB2	0.290401	0.279518	CIS
SAMD11--VTCN1	0.278135	0.081333	CIS
SAMD11--PTCHD2	0.288592	0.250284	CIS
SAMD11--VWA1	0.280572	0.120713	CIS
SAMD11--ATAD3C	0.280572	0.120713	CIS
SAMD11--KIAA1751	0.280572	0.120713	CIS
SAMD11--LDLRAP1	0.296678	0.380939	CIS
NOC2L--NOC2L	0.283262	0.164166	CIS
NOC2L--KLHL17	0.283262	0.164166	CIS
NOC2L--PLEKHN1	0.283262	0.164166	CIS
NOC2L--AGRN	0.283262	0.164166	CIS
NOC2L--TTLL10	0.280572	0.120713	CIS
NOC2L--SDF4	0.280572	0.120713	CIS
NOC2L--KCNAB2	0.290401	0.279518	CIS
NOC2L--VTCN1	0.278135	0.081333	CIS
NOC2L--PTCHD2	0.288592	0.250284	CIS
NOC2L--VWA1	0.280572	0.120713	CIS
NOC2L--ATAD3C	0.280572	0.120713	CIS
NOC2L--KIAA1751	0.280572	0.120713	CIS
NOC2L--LDLRAP1	0.296678	0.380939	CIS
NOC2L--MIB2	0.280572	0.120713	CIS
NOC2L--MMP23B	0.280572	0.120713	CIS
NOC2L--CDK11B	0.280572	0.120713	CIS
NOC2L--SLC22A15	0.281823	0.140917	CIS
NOC2L--FAF1	0.297837	0.399660	CIS
NOC2L--DPYD	0.284900	0.190641	CIS
NOC2L--PDE4B	0.292561	0.314413	CIS
NOC2L--CSMD2	0.301572	0.460020	CIS
NOC2L--FBLIM1	0.291698	0.300473	CIS
NOC2L--FPGT-TNNI3K	0.296239	0.373838	CIS
NOC2L--TNNI3K	0.296239	0.373838	CIS
NOC2L--RER1	0.285206	0.195588	CIS
NOC2L--PEX10	0.285206	0.195588	CIS
NOC2L--HSPB11	0.296182	0.372916	CIS
NOC2L--LRRC42	0.296182	0.372916	CIS
NOC2L--C1orf159	0.280572	0.120713	CIS
NOC2L--ATAD3A	0.280572	0.120713	CIS
KLHL17--KLHL17	0.283262	0.164166	CIS
KLHL17--PLEKHN1	0.283262	0.164166	CIS
KLHL17--MIB2	0.280572	0.120713	CIS
KLHL17--MMP23B	0.280572	0.120713	CIS
