seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	BM_BM_01	BM_BM_03	BM_BM_06	BM_BM_12	BM_BM_18	B_BM_01	B_BM_03	B_BM_06	B_BM_12	B_BM_18	B_PB_01	B_PB_03	B_PB_06	B_PB_09	B_PB_12	B_PB_18	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CFC_BM_00	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_PB_03	CFC_PB_06	CFC_PB_09	CFC_PB_12	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	Myelo_BM_01	Myelo_BM_03	Myelo_BM_06	Myelo_BM_12	Myelo_BM_18	Myelo_PB_01	Myelo_PB_03	Myelo_PB_06	Myelo_PB_09	Myelo_PB_12	Myelo_PB_18	NK_BM_12	NK_BM_18	NK_PB_03	NK_PB_06	NK_PB_09	NK_PB_12	NK_PB_18	PB_PB_01	PB_PB_03	PB_PB_06	PB_PB_09	PB_PB_12	PB_PB_18	TE_BM_03	TE_BM_06	TE_BM_12	TE_BM_18	T_BM_01	T_BM_03	T_BM_12	T_BM_18	T_PB_01	T_PB_03	T_PB_06	T_PB_09	T_PB_12	T_PB_18
chr1	651288	651288	1	-	LOC100133331	-	FALSE	FALSE														16																																																																	
chr1	691841	691841	1	+	LOC100288069	-	FALSE	FALSE																								39			3																																																				
chr1	720450	720450	1	-	LOC100288069	-	FALSE	FALSE																								23																																																							
chr1	1037671	1037671	1	-	C1orf159	-	FALSE	FALSE																																																																														3654	
chr1	1196241	1196241	1	-	UBE2J2	-	FALSE	FALSE																																																	1																														
chr1	1274718	1274718	1	+	DVL1	-	FALSE	FALSE																																																1																															
chr1	1308349	1308349	1	+	AURKAIP1	-	FALSE	FALSE											391																																										1177																										
chr1	1321392	1321392	1	-	CCNL2	-	FALSE	FALSE																																	1																																														
chr1	1399193	1399193	1	-	ATAD3C	+	FALSE	FALSE																																															1																																
chr1	1494942	1494942	1	-	SSU72	-	FALSE	FALSE																																														245						17																											
chr1	1588859	1588859	1	+	SLC35E2B	-	FALSE	FALSE																			119																																																												
chr1	1766342	1766342	1	+	GNB1	-	FALSE	FALSE																																																				1																											
chr1	1817189	1817189	1	+	GNB1	-	FALSE	FALSE																																														4																																	
chr1	1870022	1870022	1	+	CFAP74	-	FALSE	FALSE			1																																																																												
chr1	1890701	1890701	1	-	CFAP74	-	FALSE	FALSE																							4																			2																																					
chr1	2026296	2026296	1	+	PRKCZ	+	FALSE	FALSE														1																																																																	
chr1	2083563	2083563	1	-	PRKCZ	+	FALSE	FALSE																																																													1																		
chr1	2140823	2140823	1	+	C1orf86	-	FALSE	FALSE																																																																		1062													
chr1	2153893	2153893	1	-	SKI	+	FALSE	FALSE																																																	1																														
chr1	2170404	2170404	1	+	SKI	+	FALSE	FALSE					36																																																																										
chr1	2172284	2172284	1	+	SKI	+	FALSE	FALSE																					499																									427																																	
chr1	2190598	2190598	1	+	SKI	+	FALSE	FALSE																																																				137																											
chr1	2503728	2503728	1	-	LOC100996583	+	FALSE	FALSE																																									1																								60														
chr1	2738040	2738040	1	+	TTC34	-	FALSE	FALSE																									1																																																						
chr1	2782380	2782380	1	+	TTC34	-	FALSE	FALSE					1093															932						2217								292												13						787		888																									
chr1	2955185	2955185	1	-	ACTRT2	+	FALSE	FALSE																																											1																																				
chr1	3005655	3005655	1	+	PRDM16	+	FALSE	FALSE																																															1																																
chr1	3011987	3011987	1	-	PRDM16	+	FALSE	FALSE											1236								2											379									1084										1														2062														1753		
chr1	3126642	3126642	1	+	PRDM16	+	FALSE	FALSE																																																			826																												
chr1	3130417	3130417	1	-	PRDM16	+	FALSE	FALSE																																																																												577			
chr1	3152024	3152024	1	+	PRDM16	+	FALSE	FALSE																																														3																																	
chr1	3197406	3197406	1	+	PRDM16	+	FALSE	FALSE									61																																								2																														
chr1	3258529	3258529	1	-	PRDM16	+	FALSE	FALSE																																																											6																				
chr1	3288184	3288184	1	-	PRDM16	+	FALSE	FALSE																							1																																																								
chr1	3474512	3474512	1	-	MIR551A	-	FALSE	FALSE																		1050																										113								121																											
chr1	3510763	3510763	1	-	MEGF6	-	FALSE	FALSE									171																																																																						
chr1	4544768	4544768	1	+	LOC284661	+	FALSE	FALSE																							1																																																								
chr1	5028383	5028383	1	+	AJAP1	+	FALSE	FALSE																																																														1																	
chr1	5293104	5293104	1	+	MIR4417	+	FALSE	FALSE																																																														1																	
chr1	5560037	5560037	1	-	MIR4417	+	FALSE	FALSE																								1																																																							
chr1	6146033	6146033	1	-	KCNAB2	+	FALSE	FALSE																																																												1																			
chr1	6544043	6544043	1	-	PLEKHG5	-	FALSE	FALSE																						1																																																									
chr1	6730417	6730417	1	-	DNAJC11	-	FALSE	FALSE																																																				478																											
chr1	6941904	6941904	1	+	CAMTA1	+	FALSE	FALSE																																												1																																			
chr1	7753975	7753975	1	+	CAMTA1	+	FALSE	FALSE				1																																																																											
chr1	8374329	8374329	1	+	SLC45A1	+	FALSE	FALSE																																																													1																		
chr1	8467444	8467444	1	+	RERE	-	FALSE	FALSE																																												78																																			
chr1	8472509	8472509	1	+	RERE	-	FALSE	FALSE																																														834																																	
chr1	8511473	8511473	1	-	RERE	-	FALSE	FALSE																																																														1																	
chr1	8528118	8528118	1	-	RERE	-	FALSE	FALSE																																																													1																		
chr1	8558566	8558566	1	+	RERE	-	FALSE	FALSE																																																																		1													
chr1	8563353	8563353	1	+	RERE	-	FALSE	FALSE									14																																					1			771																														
chr1	8577584	8577584	1	+	RERE	-	FALSE	FALSE																																															697																																
chr1	8600580	8600580	1	+	RERE	-	FALSE	FALSE																																																				1851																											
chr1	8632716	8632716	1	+	RERE	-	FALSE	FALSE																																											549																																				
chr1	8648022	8648022	1	-	RERE	-	FALSE	FALSE																									26																																																						
chr1	8649234	8649234	1	-	RERE	-	FALSE	FALSE																																																																							1								
chr1	8739688	8739688	1	-	RERE	-	FALSE	FALSE																																																				491																											
chr1	8741340	8741340	1	-	RERE	-	FALSE	FALSE																																																				399																											
chr1	8758898	8758898	1	+	RERE	-	FALSE	FALSE		64																					1201																																																								
chr1	8776979	8776979	1	+	RERE	-	FALSE	FALSE																																																											328																				
chr1	8812650	8812650	1	+	RERE	-	FALSE	FALSE																					368																																																										
chr1	8941074	8941074	1	-	ENO1-AS1	+	FALSE	FALSE																											1																																																				
chr1	9105961	9105961	1	+	SLC2A5	-	FALSE	FALSE																																																				8																											
chr1	9122457	9122457	1	+	SLC2A5	-	FALSE	FALSE																			100																																																												
chr1	9317599	9317599	1	-	H6PD	+	FALSE	FALSE																																																																							3								
chr1	9728282	9728282	1	+	PIK3CD-AS2	-	FALSE	FALSE					10																																																																										
chr1	9729498	9729498	1	-	PIK3CD-AS2	-	FALSE	FALSE																																																		179																													
chr1	9743299	9743299	1	+	PIK3CD-AS2	-	FALSE	FALSE																								1																																																							
chr1	9788723	9788723	1	+	PIK3CD	+	FALSE	FALSE		1104																																																																													
chr1	9965757	9965757	1	+	CTNNBIP1	-	FALSE	FALSE					3372															10401						9216								62																																													
chr1	9966305	9966305	1	-	CTNNBIP1	-	FALSE	FALSE																																														1																																	
chr1	10165491	10165491	1	+	UBE4B	+	FALSE	FALSE																																															127																																
chr1	10361337	10361337	1	+	KIF1B	+	FALSE	FALSE																																														54																																	
chr1	10544426	10544426	1	-	PEX14	+	FALSE	FALSE																								1																																																							
chr1	10635564	10635564	1	+	PEX14	+	FALSE	FALSE																											1																																																				
chr1	10776071	10776071	1	+	CASZ1	-	FALSE	FALSE																							1																																																								
chr1	11046531	11046531	1	-	C1orf127	-	FALSE	FALSE																								1																																																							
chr1	11556534	11556534	1	+	PTCHD2	+	FALSE	FALSE																											1																																																				
chr1	11725890	11725890	1	-	FBXO6	+	FALSE	FALSE																			1																																																												
chr1	11752271	11752271	1	+	DRAXIN	+	FALSE	FALSE																								1																																																							
chr1	11923534	11923534	1	-	NPPB	-	FALSE	FALSE																																																1																															
chr1	12215835	12215835	1	+	MIR7846	+	FALSE	FALSE																																													2208																																		
chr1	12359554	12359554	1	-	VPS13D	+	FALSE	FALSE																																																	27																														
chr1	12521321	12521321	1	+	VPS13D	+	FALSE	FALSE																																														1						401																											
chr1	12536718	12536718	1	-	VPS13D	+	FALSE	FALSE																																														135																																	
chr1	12546782	12546782	1	+	VPS13D	+	FALSE	FALSE																																																				4																											
chr1	12637380	12637380	1	+	DHRS3	-	FALSE	FALSE																																																1																															
chr1	12857009	12857009	1	+	PRAMEF1	+	FALSE	FALSE																																												1																																			
chr1	14059681	14059681	1	+	PRDM2	+	FALSE	FALSE																																																											798																				
chr1	14088339	14088339	1	-	PRDM2	+	FALSE	FALSE																			696																																										39																		
chr1	14612451	14612451	1	+	KAZN	+	FALSE	FALSE																																												1																																			
chr1	15054206	15054206	1	+	KAZN	+	FALSE	FALSE																																																1																															
chr1	15141914	15141914	1	-	KAZN	+	FALSE	FALSE																									1																																																						
chr1	15231827	15231827	1	+	KAZN	+	FALSE	FALSE													1																																																																		
chr1	15503750	15503750	1	-	C1orf195	-	FALSE	FALSE													1																																																																		
chr1	15708421	15708421	1	-	FHAD1	+	FALSE	FALSE																																																																							1								
chr1	16078134	16078134	1	+	TMEM82	+	FALSE	FALSE							1																																																																								
chr1	16177092	16177092	1	+	SPEN	+	FALSE	FALSE																																																				297																											
chr1	16187922	16187922	1	+	MIR5096	+	FALSE	FALSE																																																																		110													
chr1	16189099	16189099	1	+	MIR5096	+	FALSE	FALSE																																																				146																											
chr1	16200959	16200959	1	-	SPEN	+	FALSE	FALSE																																							3																								5																
chr1	16203292	16203292	1	+	SPEN	+	FALSE	FALSE						39																																																																									
chr1	16203878	16203878	1	-	SPEN	+	FALSE	FALSE					4																									1																																					9												
chr1	16230765	16230765	1	+	MIR5096	+	FALSE	FALSE				2																																																																											
chr1	16231030	16231030	1	+	MIR5096	+	FALSE	FALSE																																															342																																
chr1	16242510	16242510	1	-	SPEN	+	FALSE	FALSE																									1339																																																						
chr1	16245811	16245811	1	-	SPEN	+	FALSE	FALSE					38																																																																										
chr1	16310360	16310360	1	-	ZBTB17	-	FALSE	FALSE																														331																103						448																											
chr1	16582271	16582271	1	+	FBXO42	-	FALSE	FALSE				552																																																																											
chr1	16594095	16594095	1	+	FBXO42	-	FALSE	FALSE																																																																	1706														
chr1	16650676	16650676	1	+	FBXO42	-	FALSE	FALSE																																																				522																											
chr1	16661198	16661198	1	+	FBXO42	-	FALSE	FALSE		1																																																																													
chr1	16669172	16669172	1	+	FBXO42	-	FALSE	FALSE																																																						3																									
chr1	16741993	16741993	1	+	SPATA21	-	FALSE	FALSE								1																																																																							
chr1	16744587	16744587	1	-	SPATA21	-	FALSE	FALSE																																												1																																			
chr1	16835874	16835874	1	-	CROCCP3	-	FALSE	FALSE														47																																																																	
chr1	16887271	16887271	1	-	NBPF1	-	FALSE	FALSE																																															199																																
chr1	16936626	16936626	1	-	NBPF1	-	FALSE	FALSE																					25																																																										
chr1	16981316	16981316	1	+	MST1P2	+	FALSE	FALSE																		40																																																						125							
chr1	17071898	17071898	1	+	MST1L	-	FALSE	FALSE														5																																																																	
chr1	17079141	17079141	1	-	MST1L	-	FALSE	FALSE																		5																									3																													4							
chr1	17357327	17357327	1	-	SDHB	-	FALSE	FALSE															1																																																																
chr1	17819512	17819512	1	+	ARHGEF10L	+	FALSE	FALSE																																																	1																														
chr1	18326456	18326456	1	+	LOC101927876	+	FALSE	FALSE			1																																																																												
chr1	18352762	18352762	1	-	LOC101927876	+	FALSE	FALSE																								1																																																							
chr1	18996441	18996441	1	+	PAX7	+	FALSE	FALSE																																																1																															
chr1	19141154	19141154	1	+	TAS1R2	-	FALSE	FALSE																																																																		1													
chr1	19259989	19259989	1	-	IFFO2	-	FALSE	FALSE																														7381																																																	
chr1	19261778	19261778	1	-	IFFO2	-	FALSE	FALSE							1																																																																								
chr1	19387378	19387378	1	-	UBR4	-	FALSE	FALSE																									1																																																						
chr1	19459165	19459165	1	+	UBR4	-	FALSE	FALSE					5514						3						110																	810																		165																					267						
chr1	19511499	19511499	1	-	UBR4	-	FALSE	FALSE			8898																																																								29																				
chr1	19522105	19522105	1	-	UBR4	-	FALSE	FALSE																												922																																			105																
chr1	19530391	19530391	1	+	UBR4	-	FALSE	FALSE																																														218																																	
chr1	19688918	19688918	1	+	CAPZB	-	FALSE	FALSE																																																				1211																											
chr1	19728953	19728953	1	-	CAPZB	-	FALSE	FALSE																																														321																																	
chr1	19740199	19740199	1	+	CAPZB	-	FALSE	FALSE																			706		146																																																										
chr1	19741578	19741578	1	-	CAPZB	-	FALSE	FALSE																																																							1																								
chr1	19760810	19760810	1	-	CAPZB	-	FALSE	FALSE																																								470						7			35	1616		2053												1006															1623
chr1	19785976	19785976	1	+	CAPZB	-	FALSE	FALSE																																									78																								266														
chr1	19791141	19791141	1	-	CAPZB	-	FALSE	FALSE																																																																													5255		
chr1	19920112	19920112	1	+	MINOS1	+	FALSE	FALSE																							1	1																																																							
chr1	19943000	19943000	1	-	MINOS1	+	FALSE	FALSE																																																								732																							
chr1	21008156	21008156	1	-	KIF17	-	FALSE	FALSE			1																																																																												
chr1	21203185	21203185	1	-	EIF4G3	-	FALSE	FALSE										2398																																																																					
chr1	21215555	21215555	1	-	EIF4G3	-	FALSE	FALSE																																																	18																														
chr1	21232588	21232588	1	-	EIF4G3	-	FALSE	FALSE			81											1056																		385																			12944								317																	231			
chr1	21254898	21254898	1	-	EIF4G3	-	FALSE	FALSE																																															14																																
chr1	21262252	21262252	1	+	EIF4G3	-	FALSE	FALSE														328																																																																	
chr1	21279440	21279440	1	-	EIF4G3	-	FALSE	FALSE																																																				588																											
chr1	21304615	21304615	1	-	EIF4G3	-	FALSE	FALSE			1284																																																																												
chr1	21312387	21312387	1	-	MIR1256	-	FALSE	FALSE					264																													125							5										4														37														
chr1	21330917	21330917	1	+	EIF4G3	-	FALSE	FALSE																																												22																																			
chr1	21338688	21338688	1	-	EIF4G3	-	FALSE	FALSE					794																													239																																													
chr1	21353167	21353167	1	+	EIF4G3	-	FALSE	FALSE					42																																																																										
