#Edge	Score	Prob	Cis/Trans	Collisions
SAMD11--ACAP3	0.28057227	0.12071282	CIS	NaN
SAMD11--PUSL1	0.28057227	0.12071282	CIS	NaN
SAMD11--CPSF3L	0.28057227	0.12071282	CIS	NaN
SAMD11--GLTPD1	0.28057227	0.12071282	CIS	NaN
SAMD11--TAS1R3	0.28057227	0.12071282	CIS	NaN
SAMD11--DVL1	0.28057227	0.12071282	CIS	NaN
SAMD11--TTLL10	0.28057227	0.12071282	CIS	NaN
SAMD11--SAMD11	0.28326162	0.16416556	CIS	NaN
SAMD11--NOC2L	0.28326162	0.16416556	CIS	NaN
SAMD11--KLHL17	0.28326162	0.16416556	CIS	NaN
SAMD11--PLEKHN1	0.28326162	0.16416556	CIS	NaN
SAMD11--MACF1	0.29872341	0.41398671	CIS	NaN
SAMD11--ISG15	0.28326162	0.16416556	CIS	NaN
SAMD11--AGRN	0.28326162	0.16416556	CIS	NaN
SAMD11--MORN1	0.28520639	0.19558784	CIS	NaN
SAMD11--EPS8L3	0.28335683	0.16570383	CIS	NaN
SAMD11--LAPTM5	0.29792521	0.40108983	CIS	NaN
SAMD11--SDF4	0.28057227	0.12071282	CIS	NaN
SAMD11--KCNAB2	0.29040092	0.27951756	CIS	NaN
SAMD11--VTCN1	0.27813501	0.08133321	CIS	NaN
SAMD11--PTCHD2	0.28859161	0.25028383	CIS	NaN
SAMD11--VWA1	0.28057227	0.12071282	CIS	NaN
SAMD11--ATAD3C	0.28057227	0.12071282	CIS	NaN
SAMD11--KIAA1751	0.28057227	0.12071282	CIS	NaN
SAMD11--LDLRAP1	0.29667807	0.38093949	CIS	NaN
NOC2L--NOC2L	0.28326162	0.16416556	CIS	NaN
NOC2L--KLHL17	0.28326162	0.16416556	CIS	NaN
NOC2L--PLEKHN1	0.28326162	0.16416556	CIS	NaN
NOC2L--AGRN	0.28326162	0.16416556	CIS	NaN
NOC2L--TTLL10	0.28057227	0.12071282	CIS	NaN
NOC2L--SDF4	0.28057227	0.12071282	CIS	NaN
NOC2L--KCNAB2	0.29040092	0.27951756	CIS	NaN
NOC2L--VTCN1	0.27813501	0.08133321	CIS	NaN
NOC2L--PTCHD2	0.28859161	0.25028383	CIS	NaN
NOC2L--VWA1	0.28057227	0.12071282	CIS	NaN
NOC2L--ATAD3C	0.28057227	0.12071282	CIS	NaN
NOC2L--KIAA1751	0.28057227	0.12071282	CIS	NaN
