seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	BM_BM_01	BM_BM_03	BM_BM_06	BM_BM_12	BM_BM_18	BM_BM_24	BM_BM_30	BM_BM_36	B_BM_01	B_BM_03	B_BM_06	B_BM_12	B_BM_18	B_BM_24	B_BM_30	B_BM_36	B_PB_01	B_PB_03	B_PB_06	B_PB_09	B_PB_12	B_PB_18	B_PB_24	B_PB_30	B_PB_36	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_BM_30	CD34_BM_36	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_BM_30	CFC_PB_03	CFC_PB_06	CFC_PB_09	CFC_PB_12	CFC_PB_18	CFC_PB_24	MNC_BM_24	MNC_BM_30	MNC_BM_36	MNC_PB_24	MNC_PB_30	MNC_PB_36	Myelo_BM_01	Myelo_BM_03	Myelo_BM_06	Myelo_BM_12	Myelo_BM_18	Myelo_BM_24	Myelo_BM_30	Myelo_BM_36	Myelo_PB_01	Myelo_PB_03	Myelo_PB_06	Myelo_PB_09	Myelo_PB_12	Myelo_PB_18	Myelo_PB_24	Myelo_PB_30	Myelo_PB_36	NK_BM_01	NK_BM_03	NK_BM_06	NK_BM_18	NK_BM_24	NK_BM_30	NK_BM_36	NK_PB_01	NK_PB_03	NK_PB_06	NK_PB_09	NK_PB_12	NK_PB_24	NK_PB_30	NK_PB_36	PB_PB_01	PB_PB_03	PB_PB_06	PB_PB_09	PB_PB_12	PB_PB_18	PB_PB_24	PB_PB_30	PB_PB_36	TE_BM_01	TE_BM_03	TE_BM_06	TE_BM_12	TE_BM_18	TE_BM_24	TE_BM_30	T_BM_01	T_BM_03	T_BM_06	T_BM_12	T_BM_24	T_BM_30	T_PB_01	T_PB_03	T_PB_06	T_PB_09	T_PB_12	T_PB_18	T_PB_24	T_PB_30	T_PB_36
chr1	25528	25528	1	+	WASH7P	-	FALSE	FALSE																											2																																																																																										
chr1	719821	719821	1	+	LOC100288069	-	FALSE	FALSE																																								17																																																																													
chr1	747055	747055	1	-	FAM87B	+	FALSE	FALSE																															2																																																						1																												1				
chr1	747914	747914	1	-	FAM87B	+	FALSE	FALSE								9																																								6		18			78	1						33										28						36														1				19																							
chr1	803825	803825	1	-	FAM41C	-	FALSE	FALSE																																																									1																																																												
chr1	1037707	1037707	1	-	C1orf159	-	FALSE	FALSE												108								32										13								15						2													9											10													369																								8												
chr1	1239799	1239799	1	+	ACAP3	-	FALSE	FALSE																				43																																																																																																	
chr1	1252454	1252454	1	-	CPSF3L	-	FALSE	FALSE																																																												2										56																																															
chr1	1255494	1255494	1	+	CPSF3L	-	FALSE	FALSE																																																																						2																																															
chr1	1255497	1255497	1	+	CPSF3L	-	FALSE	FALSE																																																																						2																																															
chr1	1280106	1280106	1	-	DVL1	-	FALSE	FALSE																																							2							2																				1																								3	106																										
chr1	1314177	1314177	1	+	AURKAIP1	-	FALSE	FALSE																																																431																																								184																													
chr1	1330986	1330986	1	+	CCNL2	-	FALSE	FALSE																														40																																																										514																													
chr1	1405774	1405774	1	-	ATAD3C	+	FALSE	FALSE						1																	1																																													1																																1																	
chr1	1586212	1586212	1	-	SLC35E2B	-	FALSE	FALSE																																																																																								21																													
chr1	1597778	1597778	1	+	SLC35E2B	-	FALSE	FALSE																																				58																																																																																	
chr1	1607651	1607651	1	+	SLC35E2B	-	FALSE	FALSE																																								6																																																																													
chr1	1610101	1610101	1	-	SLC35E2B	-	FALSE	FALSE																											7																																																																																										
chr1	1733250	1733250	1	-	GNB1	-	FALSE	FALSE																											16																																																																																										
chr1	1746328	1746328	1	+	GNB1	-	FALSE	FALSE																																																																																														1																							
chr1	1752190	1752190	1	-	GNB1	-	FALSE	FALSE			1																																																					3																																																													
chr1	1765044	1765044	1	-	GNB1	-	FALSE	FALSE						1																										1																																				40																					6			1								2																	
chr1	1765574	1765574	1	-	GNB1	-	FALSE	FALSE				1																																																																																																																	
chr1	1766616	1766616	1	-	GNB1	-	FALSE	FALSE																																																																				2																																																	
chr1	1767084	1767084	1	+	GNB1	-	FALSE	FALSE										1																																													13																																																														
chr1	1775069	1775069	1	+	GNB1	-	FALSE	FALSE																													1																																																																																								
chr1	1778874	1778874	1	+	GNB1	-	FALSE	FALSE			1	3																																		134				66															5																																								36																				
chr1	1791763	1791763	1	+	GNB1	-	FALSE	FALSE								1															2																																													30																														10																1			
chr1	1793822	1793822	1	-	GNB1	-	FALSE	FALSE			3		1	1															1		3								2	99							5						6	4												3	4							3	656	1							1							1	1							2	3	1								1												4	3				
chr1	2172695	2172695	1	-	SKI	+	FALSE	FALSE																																																																																																	2																				
chr1	2328152	2328152	1	+	RER1	+	FALSE	FALSE			1																																																																																																																		
chr1	2506094	2506094	1	-	LOC100996583	+	FALSE	FALSE					1														2		2										1								1						1	1												3						7																		1								231																						3					
chr1	2515202	2515202	1	+	LOC100996583	+	FALSE	FALSE		4								2								1647									1																												5								5																1																	4							2						1								
chr1	2768180	2768180	1	-	TTC34	-	FALSE	FALSE																											11																																																																																										
chr1	2798760	2798760	1	+	TTC34	-	FALSE	FALSE																																										423																																																																							1				
chr1	2801609	2801609	1	+	TTC34	-	FALSE	FALSE																			211																																																														314																																				
chr1	3093666	3093666	1	+	PRDM16	+	FALSE	FALSE																																																								1																																																													
chr1	3477518	3477518	1	+	MIR551A	-	FALSE	FALSE																																1																																				2							1																	64								2																	
chr1	6095854	6095854	1	-	KCNAB2	+	FALSE	FALSE				3																										14																																																														1								9																	
chr1	6734980	6734980	1	+	DNAJC11	-	FALSE	FALSE																																																															3																																																						
chr1	7652117	7652117	1	-	CAMTA1	+	FALSE	FALSE																																																																																																														1							
chr1	7810073	7810073	1	+	CAMTA1	+	FALSE	FALSE																																																								4																																																													
