#mm10.refGene.chrom	mm10.refGene.strand	mm10.refGene.txStart	mm10.refGene.txEnd	mm10.kgXref.geneSymbol	mm10.knownToLocusLink.value
chr1	-	134199221	134235431	Adora1	11539
chr1	-	134199221	134235427	Adora1	11539
chr1	+	58713285	58733227	Cflar	12633
chr1	-	33453810	33669758	Prim2	19076,
chr1	+	58713285	58758882	Cflar	12633,
chr1	-	25067475	25829707	Bai3	210933,
chr1	-	8362660	9299730	Sntg1	71096,
chr1	+	125676995	125873861	Gpr39	71111
chr1	-	75485824	75506452	Obsl1	98733,
chr1	-	175962305	176213942	Pld5	319455
chr1	-	175962305	176275312	Pld5	319455
chr1	-	192897306	193035698	Syt14	329324,
chr1	-	184527840	184557691	1700112H15Rik	73590
chr1	+	167689557	167848733	Lmx1a	110648
chr1	-	10324726	10719943	Cpa6	329093
chr1	-	13625899	13660509	Lactb2	212442
chr1	+	11414104	11975902	A830018L16Rik	320492
chr1	+	11414104	11601821	A830018L16Rik	320492
chr1	+	11414104	11975902	A830018L16Rik	320492,
chr1	+	11414104	11601821	A830018L16Rik	320492,
chr1	+	20951625	20990841	Efhc1	71877
chr1	+	32172805	32657738	Khdrbs2	170771,
chr1	-	36699201	36709925	Actr1b	226977
chr1	-	39842427	39847330	1700066B17Rik	73426
chr1	-	38794508	38821215	Lonrf2	381338
chr1	+	46066737	46373550	Dnahc7b	227058
chr1	+	42952871	43035449	Gpr45	93690
chr1	-	53397001	53706784	Dnahc7a	627872
chr1	+	55405945	55754285	Plcl1	227120
chr1	-	54472999	54557684	Pgap1	241062,
chr1	+	61638823	62642284	Pard3b	72823,
chr1	+	59764636	59870859	Bmpr2	12168
chr1	-	73391384	73407569	Pinc	723792
chr1	-	68039965	69108059	Erbb4	13869
chr1	+	69826969	70725132	Spag16	66722,
chr1	+	72307420	72394953	Xrcc5	22596
chr1	-	71243089	71414910	Abca12	74591,
chr1	+	69951614	70725132	Spag16	66722
chr1	-	74435509	74544286	Usp37	319651,
chr1	+	73398967	73430779	D530049I02Rik	78718
chr1	-	80501072	80758553	Dock10	210293,
chr1	+	88070778	88220002	Ugt1a9	394434
chr1	+	89070461	89153793	Sh3bp4	98402
chr1	+	88055410	88220002	Ugt1a10	394430
chr1	-	84906704	84935083	Slc16a14	71781
chr1	+	86703803	87050097	Dis3l2	208718
chr1	+	86703803	87050097	Dis3l2	208718,
chr1	-	93309436	93342788	Pask	269224,
chr1	+	106934448	106957078	Serpinb12	71869
chr1	+	104768818	104995481	Cdh20	23836
chr1	+	106938956	106957080	Serpinb12	71869,
chr1	+	109983736	110139001	Cdh7	241201,
chr1	+	115685136	116580674	Cntnap5a	636808
