seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	BM_BM_01	BM_BM_03	BM_BM_06	BM_BM_12	BM_BM_18	BM_BM_24	BM_BM_30	B_BM_01	B_BM_03	B_BM_12	B_BM_18	B_BM_24	B_BM_30	B_PB_01	B_PB_03	B_PB_06	B_PB_12	B_PB_18	B_PB_24	B_PB_30	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD34_BM_24	CD34_MPB_00	CFC_BM_00	CFC_BM_03	CFC_BM_12	CFC_BM_18	CFC_BM_24	CFC_MPB_00	CFC_PB_03	CFC_PB_09	CFC_PB_12	CFC_PB_18	CFC_PB_24	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_BM_24	MNC_BM_30	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	MNC_PB_24	MNC_PB_30	Myelo_BM_01	Myelo_BM_03	Myelo_BM_06	Myelo_BM_12	Myelo_BM_18	Myelo_BM_24	Myelo_BM_30	Myelo_PB_01	Myelo_PB_03	Myelo_PB_06	Myelo_PB_09	Myelo_PB_12	Myelo_PB_18	Myelo_PB_24	Myelo_PB_30	NK_BM_01	NK_BM_03	NK_BM_12	NK_BM_18	NK_BM_24	NK_PB_01	NK_PB_03	NK_PB_06	NK_PB_09	NK_PB_12	NK_PB_18	NK_PB_30	PB_PB_03	PB_PB_06	PB_PB_09	PB_PB_12	PB_PB_18	PB_PB_24	PB_PB_30	TE_BM_01	TE_BM_03	TE_BM_12	TE_BM_18	TE_BM_24	T_BM_01	T_BM_03	T_BM_12	T_BM_18	T_BM_24	T_BM_30	T_PB_01	T_PB_03	T_PB_06	T_PB_09	T_PB_12	T_PB_18	T_PB_24	T_PB_30
chr1	125304	125304	1	+	LOC729737	-	FALSE	FALSE																																																																																								1	1																			
chr1	889993	889993	1	-	NOC2L	-	FALSE	FALSE																																				54																																																																								
chr1	1041503	1041503	1	-	C1orf159	-	FALSE	FALSE				4																										927																																																																														
chr1	1122553	1122553	1	+	TTLL10	+	FALSE	FALSE																																																															25																																													
chr1	1126824	1126824	1	+	TTLL10	+	FALSE	FALSE																																																																																									1																			
chr1	1194163	1194163	1	+	UBE2J2	-	FALSE	FALSE																						3922			2				2		18				5																													3																																												
chr1	1246335	1246335	1	+	PUSL1	+	FALSE	FALSE																													211																																																																															
chr1	1326206	1326206	1	-	CCNL2	-	FALSE	FALSE																																																																						3																																						
chr1	1330511	1330511	1	-	CCNL2	-	FALSE	FALSE																														1																																																																														
chr1	1349817	1349817	1	-	ANKRD65	-	FALSE	FALSE																																																																13																																												
chr1	1494977	1494977	1	-	SSU72	-	FALSE	FALSE																																			2																																																																									
chr1	1507862	1507862	1	-	SSU72	-	FALSE	FALSE																																																																																										47																		
chr1	1640535	1640535	1	+	CDK11A	-	FALSE	FALSE																																			1																																																																									
chr1	1763628	1763628	1	+	GNB1	-	FALSE	FALSE									1																																17							1															28																																													
chr1	1773898	1773898	1	+	GNB1	-	FALSE	FALSE																																																															3																																													
chr1	1780334	1780334	1	+	GNB1	-	FALSE	FALSE			3													1								568																																																											1																									
chr1	1800402	1800402	1	-	GNB1	-	FALSE	FALSE																													2																																																																															
chr1	1876881	1876881	1	-	CFAP74	-	FALSE	FALSE									1																																																						697													1														2																		
chr1	2195130	2195130	1	+	SKI	+	FALSE	FALSE																																																															4																																													
chr1	2227403	2227403	1	-	SKI	+	FALSE	FALSE																															1				40																																																																									
chr1	2328755	2328755	1	+	RER1	+	FALSE	FALSE																						1							293		2																																																																													
