seqnames	start	end	width	strand	closest_gene	strand_gene	collision	reassigned	reassigned.to	CD13_BM_01	CD13_BM_03	CD13_BM_12	CD13_BM_18	CD14_PB_01	CD14_PB_03	CD14_PB_06	CD14_PB_09	CD14_PB_12	CD14_PB_18	CD15_BM_01	CD15_BM_03	CD15_BM_12	CD15_BM_18	CD15_PB_01	CD15_PB_03	CD15_PB_06	CD15_PB_09	CD15_PB_12	CD15_PB_18	CD19_BM_01	CD19_BM_03	CD19_BM_12	CD19_BM_18	CD19_PB_01	CD19_PB_03	CD19_PB_06	CD19_PB_09	CD19_PB_12	CD19_PB_18	CD34_BM_00	CD34_BM_01	CD34_BM_03	CD34_BM_06	CD34_BM_12	CD34_BM_18	CD3_BM_01	CD3_BM_03	CD3_BM_12	CD3_BM_18	CD3_PB_01	CD3_PB_03	CD3_PB_06	CD3_PB_09	CD3_PB_12	CD3_PB_18	CD56_BM_03	CD56_BM_12	CD56_BM_18	CD56_PB_01	CD56_PB_03	CD56_PB_06	CD56_PB_09	CD56_PB_12	CD56_PB_18	CD61_BM_12	CD61_BM_18	CFC_BM_00	CFC_BM_01	CFC_BM_03	CFC_BM_06	CFC_BM_12	CFC_PB_06	CFC_PB_09	CFC_PB_12	GLY_BM_03	GLY_BM_12	GLY_BM_18	MNC_BM_01	MNC_BM_03	MNC_BM_06	MNC_BM_12	MNC_BM_18	MNC_PB_01	MNC_PB_03	MNC_PB_06	MNC_PB_09	MNC_PB_12	MNC_PB_18	WHOLE.BM_BM_01	WHOLE.BM_BM_03	WHOLE.BM_BM_06	WHOLE.BM_BM_12	WHOLE.BM_BM_18	WHOLE.PB_PB_01	WHOLE.PB_PB_03	WHOLE.PB_PB_06	WHOLE.PB_PB_09	WHOLE.PB_PB_12	WHOLE.PB_PB_18
chr1	411151	411151	1	-	OR4F16	+	FALSE	FALSE							1																																																																																				
chr1	736572	736572	1	-	FAM87B	+	FALSE	FALSE																																																																												7															
chr1	741623	741623	1	-	FAM87B	+	FALSE	FALSE																												8																																																															
chr1	825946	825946	1	-	FAM41C	-	FALSE	FALSE																																																														968																													
chr1	851639	851639	1	+	LOC100130417	-	FALSE	FALSE																537																																																																											
chr1	1126111	1126111	1	-	TTLL10	+	FALSE	FALSE																																																													13																														
chr1	1127682	1127682	1	-	TTLL10	+	FALSE	FALSE																																																																	135																										
chr1	1129192	1129192	1	+	TTLL10	+	FALSE	FALSE							368																																																																																				
chr1	1145833	1145833	1	-	TNFRSF4	-	FALSE	FALSE																																																																																							3005				
chr1	1156394	1156394	1	+	SDF4	-	FALSE	FALSE																121																																																																											
chr1	1230333	1230333	1	-	ACAP3	-	FALSE	FALSE																																																																	79							1646																			
chr1	1254089	1254089	1	-	CPSF3L	-	FALSE	FALSE																																																																									251																		
chr1	1264373	1264373	1	-	CPTP	+	FALSE	FALSE																																																					6711						1																																
chr1	1277648	1277648	1	+	DVL1	-	FALSE	FALSE																																																														10																													
chr1	1313304	1313304	1	+	AURKAIP1	-	FALSE	FALSE																															75																																																									2			
chr1	1319962	1319962	1	-	CCNL2	-	FALSE	FALSE																																																																				30																							
chr1	1330257	1330257	1	+	CCNL2	-	FALSE	FALSE																																																													12										173											8									
chr1	1339511	1339511	1	-	MRPL20	-	FALSE	FALSE										3299																																																																																	
chr1	1348925	1348925	1	-	ANKRD65	-	FALSE	FALSE														11					3																																																																								
chr1	1412580	1412580	1	+	ATAD3B	+	FALSE	FALSE																																																											933																																
chr1	1499047	1499047	1	-	SSU72	-	FALSE	FALSE				190																																																																																							
chr1	1501020	1501020	1	+	SSU72	-	FALSE	FALSE		16																																																																																									
chr1	1640632	1640632	1	+	CDK11A	-	FALSE	FALSE				4														1																																																																									
chr1	1764330	1764330	1	+	GNB1	-	FALSE	FALSE		688																																																										24533																															
chr1	1764335	1764335	1	-	GNB1	-	FALSE	FALSE																																																												25244																															
chr1	1786020	1786020	1	-	GNB1	-	FALSE	FALSE												1047																																																																															
chr1	1789463	1789463	1	-	GNB1	-	FALSE	FALSE																																		445																																																									
chr1	2075621	2075621	1	-	PRKCZ	+	FALSE	FALSE										91																																																																																	
chr1	2191683	2191683	1	+	SKI	+	FALSE	FALSE												30																																																																															
chr1	2216549	2216549	1	+	SKI	+	FALSE	FALSE																																												53																																															
chr1	2217219	2217219	1	+	SKI	+	FALSE	FALSE																																																																														2													
chr1	2226969	2226969	1	+	SKI	+	FALSE	FALSE																																												6980																																															
chr1	2499958	2499958	1	-	LOC100996583	+	FALSE	FALSE															4																																																																												
chr1	2502893	2502893	1	+	LOC100996583	+	FALSE	FALSE				2310																																																																																							
chr1	3014203	3014203	1	+	PRDM16	+	FALSE	FALSE																																																	121																								2885																		
chr1	3121660	3121660	1	-	PRDM16	+	FALSE	FALSE			4744											7																																							3591									2																					526								
